Title,DOI,Article Type?,Year ,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,,,Notes,,
Thinking deeply about quantitative analysis: Building a Biologist's Toolkit,https://doi.org/10.24918/cs.2016.4,Essay,2016,Introduction Biology,"Vision and Change, R, RStudio, statistical analysis, Scientific communication",No,,,,,,,
Dilution and Pipetting Lesson Using Food Dyes,https://doi.org/10.24918/cs.2016.5,Lesson,2016,Science Process Skills,"dilution, Calculation, Lab Skills, Micropipetting",No,,,,,,,
Inexpensive Cell Migration Inquiry Lab using Zebrafish,https://doi.org/10.24918/cs.2016.6,Lesson,2016,Science Process Skills,"Cytoskeleton, Cell migration, model organisms",Yes,"Students work in the same group of two or three for all lab activities during the semester, which aids student comfort with group members and development of teamwork skills. All group members research the cytoskeleton and combine knowledge to develop their hypothesis. All group members are involved in the lab activities; however, there can be some division of labor such that students can choose certain tasks based on their strengths. The hands-on nature of the lab activities engages a variety of learners. Some find wounding the embryos to be their strength, while others excel at determining drug concentrations and making needed dilutions for treatments. The major assessment is an individual written report in the style of a scientific paper which allows students with testing anxiety to maximize their performance.",129,,,,,
Knowing your own: A classroom case study using the scientific method to investigate how birds learn to recognize their offspring,https://doi.org/10.24918/cs.2016.7,Lesson,2016,"Evolution, Introduction Biology, Science Process Skills","scientific method, Natural Selection, brood parasitism",Yes,"This lesson allows students to discuss and share their ideas with their peers prior to answering clicker questions and incorporates multiple ways for students to interact with the scientific method, including participating in discussions, drawing graphs, and watching videos. By sharing stories from the field, Dr. Shizuka highlights the collaborative nature of scientific research and emphasizes how undergraduate students can make key contributions to the formation of research questions, hypotheses, and experimental design. Moreover, this narrative contradicts the misconception that scientific research follows a predetermined path. In fact, Dr. Shizuka and his research team began with a set of expectations, but allowed their research and hypotheses to be guided by unexpected observations and outcomes.",114,,,,,
A Hands-on Introduction to Hidden Markov Models,https://doi.org/10.24918/cs.2016.8,Lesson,2016,"Bioinformatics, Genetics, Science Process Skills","transcription, exon, intron, splicing",Yes,"To help both CS and Biology students achieve a complete understanding, the class instructor presented HMMs in multiple ways: graphically, mathematically, and verbally. At Truman, students with different backgrounds were assigned to the same discussion group; in particular, the Biology majors were paired with students co-majoring in math.",48,,,,,
Cell Signaling Pathways - a Case Study Approach,https://doi.org/10.24918/cs.2016.9,Lesson,2016,"Cell Biology, Developmental Biology","signal transduction, gene expression, Cell communication, genetic disorders, regulation of enzyme activity",Yes,"This assignment includes mixed learning strategies: visual (slides), aural, textual, discussion and diagrammatically presented information.
The instructor may form groups of mixed ability in order to promote peer-to-peer teaching and learning.
",30,,,,,
Undergraduates Learn Evolution Through Teaching Kindergartners About Blind Mexican Cavefish,https://doi.org/10.24918/cs.2016.10,Teaching Tools and Strategies ,2016,"Ecology, Evolution, Genetics, Introduction Biology","Evolution, ecology, morphology, sensory biology, cave biology, comparative biology, environmental differences, regressive loss, structure and function",Yes,"We ensured inclusion for all undergraduate participants through open discussions as the outreach event was being developed. Through the process of brainstorming, all ideas were accepted and discussed, and each undergraduate student was encouraged to offer ideas. Additionally, all participants respectfully weighed the pros and cons of each idea before the group collectively moved towards construction of outreach materials. We ensured diversity in the implementation of our outreach program by developing outreach activities and props that could optimally foster participation of kindergartners, irrespective of differences in maturity-level, cognition or physical abilities.",91,,,,,
Making toast: Using analogies to explore concepts in bioinformatics,https://doi.org/10.24918/cs.2016.11,Teaching Tools and Strategies,2016,Bioinformatics ,"bioinformatics, workflow, genome",Yes,"The use of analogies encourages students to share knowledge about diverse cultures and experiences in the science classroom. In the ""making toast"" example, students are reminded about plurality in food choices, both in terms of diet (what foods are eaten with toast, including dietary restrictions) as well as preparation (what equipment is available for making the toast). Assessing student learning through formation of their own analogies encourages students to share experiences important to them. For example, students assigned to analogize a daily task to a bioinformatics workflow chose processes ranging from quilting to baling hay. Finally, some genomics analogies have been extended to physical models, allowing visually impaired and blind students to engage in lessons about gene sequencing (12), and other analogies could be similarly developed to encourage inclusivity.",129,,,,,
"""Boost your evolution IQ"": An evolution misconceptions game",https://doi.org/10.24918/cs.2016.12,Teaching Tools and Strategies,2016,Evolution,"Evolution, active learning, Natural Selection, group work, misconceptions",Yes,"Teams compete against one another, encouraging collaboration among members of each team. The activity may help to develop a supportive community of learning within the classroom.",26,,,,,
A Strategy for Teaching Undergraduates to Write Effective Scientific Results Sections,https://doi.org/10.24918/cs.2016.13,Teaching Tools and Strategies,2016,Science Process Skills,"data analysis, primary literature, scientific writing, communicating science",Yes,"I make sure that all students are actively working in groups during the science writing workshop so that they all have an opportunity to contribute. Many students are more inclined to ask or answer questions in a peer context than when they are addressing me. Students can be immediately put off by words they do not recognize when they are first asked to read a scientific paper. The Results formula provides scaffolding to lead students through the paper in a less threatening manner, making them realize that most of the material is accessible to them if they approach it step-by-step. Finally, the color-coding exercise I use when teaching the Results formula assists students who are visual learners to better understand the organization of a good Results paragraph.",127,,,,,
A first lesson in mathematical modeling for biologists: Rocs,https://doi.org/10.24918/cs.2016.14,Lesson,2016,"Ecology, Introduction Biology, Science Process Skills","population ecology, population modeling, discrete generation, population management",Yes,"Each student team's final product must be a consensus product, each student must contribute, and each student acknowledges both these ground rules when student teams turn in their reports. Invariably, student teams discover each other's strengths and weaknesses, and leverage these to accomplish the given task within the time constraints.",50,,,,,
A clicker-based case study that untangles student thinking about the processes in the central dogma,https://doi.org/10.24918/cs.2016.15,Lesson,2016,"Genetics, Introduction Biology","mutation, transcription, phenotype, central dogma, translation, DNA replication",Yes,"In this activity, students are asked to place themselves in the role of a research scientist and investigate open research questions. The activity includes animations, diagrams, and verbal descriptions. In addition, students answer clicker questions individually, discuss the questions with their neighbors and answer them again, and then participate in a whole class discussion (17,18). The engagement of students using active learning techniques such as think-pair-share during clicker questions has been shown to increase student learning and decrease drop out rate (19), especially for underrepresented students (20).",87,,,,,
Using computational molecular modeling software to demonstrate how DNA mutations cause phenotypes,https://doi.org/10.24918/cs.2016.16,Lesson,2016,"Bioinformatics, Genetics, Science Process Skills ","Protein Structure, computational modeling, central dogma, plant leaf structure, Phenotype/Genotype",Yes,"Students work in pairs as they complete the molecular biology activities and individually during the computational biology activities. During each weekly activity, the instructor should ensure that the students are collaborating and working together as opposed to each student individually completing separate portions and then combining their efforts to complete the activity quickly. To help ensure that every student understands and contributes to each portion of the activity, I strongly suggest that each student individually writes the final assessment (i.e. the laboratory report).

Spatial skills have been correlated to success in STEM fields (3). Unfortunately, studies have also shown that there is a gender gap in performance on spatial skills assessments (4). Spatial skills competency can increase with practice (5). The activities presented here give all students a chance to practice their spatial skills by exploring 3-D structure at their own pace. It should also be noted that the molecular models of the proteins can be 3-D printed, which further benefits students who struggle with spatial perception and those students who are visually impaired.

",173,,,,,
Taking the Hassle out of Hasselbalch,https://doi.org/10.24918/cs.2016.17,Lesson,2016,"Biochemistry and Molecular Biology, Science Process Skills","pH, drug uptake, Henderson-Hasslbalch equation, medical applications, pKa",Yes,"The pH/pKa concept is presented with an intuitive as well as a mathematical solution to accommodate students who have never built a 'scaffold' around the topic of pH, thus facilitating transfer. Unnecessary jargon, chemical names, or use of color schemes that are difficult to distinguish by students with most types of colorblindness are avoided in the presentation slides to support inclusion of all learners (14). Peer instruction elements support engagement, student-appropriate language, and opportunities for questions.",76,,,,,
Predicting and classifying effects of insertion and deletion mutations on protein coding regions,https://doi.org/10.24918/cs.2016.18,Lesson,2016,"Bioinformatics, Genetics, Science Process Skills","mutation, central dogma, translation, frameshift",Yes,"The Lesson addresses diversity in at least five ways. First, by engaging students in think-pair-share and group discussion as well as by using volunteer-response questions, the Lesson accommodates both introverts and extroverts. Having both student-selected groups as well as groups formed randomly also lets all the students access the varying expertise of peers that they might not normally choose to interact with. Third, the topic of the Lesson itself, how mutation affects protein sequence, is inextricably coupled with appreciation for the basis of diversity: DNA sequence changes leading to protein sequence changes via the central dogma. The Lesson also promotes diversity by allowing students to select a gene sequence of their own choosing for analysis, rather than every student working on the same gene selected by the instructor. Such an approach allows the Lesson to show case genetic diversity and to allow the students to draw broad conclusions about similarities and differences resulting from related types of mutations. Finally, the example used in the first class to motivate the Lesson, the genetic basis of human earwax type, provokes questions about the genetic differences between human populations and potential forces promoting those differences.",192,,,,,
Teaching epidemiology and principles of infectious disease using popular media and the case of Typhoid Mary,https://doi.org/10.24918/cs.2016.19,Lesson,2016,"Microbiology, Science Process Skills","epidemiology, case study, infectous disease, popular media, Typhoid Mary",Yes,"This activity features components that access several learning modalities. The textbook chapter and article, along with the associated questions, require students to read/write (see http://vark-learn.com/). The video tutor, text, and lecture figures (Supporting File S1) provide visual learning tools, while the Radiolab story and class discussions incorporate auditory delivery of material. Since students must come to class with answers to all of the case questions, they are individually accountable for moving learning forward. Within the small groups, all students can actively participate by vocalizing their ideas and by listening to others. The discussion in both the small and whole-class format provides students with the chance to see the value of different perspectives.",112,,,,,
Cutthroat trout in Colorado: A case study connecting evolution and conservation,https://doi.org/10.24918/cs.2016.20,Lesson,2016,"Evolution, Genetics, Science Process Skills","population genetics, phylogenetics, Speciation, divergence, gene flow",Yes,"The lesson provides multiple types of data for students to explore and asks them to evaluate which kind they found most convincing. Additionally, they are asked to apply abstract knowledge about evolution to a real-world management scenario.
Students collaborate with one another so that they may assist each other with figure interpretation, explain their thinking and strengthen their arguments, and modify ideas based on feedback.
Cutthroat trout are a charismatic species that invite strong public engagement from anglers and conservationists. For students in the American West, cutthroat trout conservation is happening in their backyards and affects everything from recreational access to trails to water quality downstream.
",104,,,,,
Sex and gender: What does it mean to be female or male?,https://doi.org/10.24918/cs.2016.21,Lesson,2016,"Anatomy-Physiology, Introduction Biology","gender, sex determination, gender identity, sex",Yes,"Students are asked to engage with the material using multiple modalities (reading, writing, discussing) before and during class. A brainstorming session about female and male characteristics is designed to be accessible to all students by exploring a familiar topic without limits or expectations on the types of responses. The case study addresses one example of gender identity as related to sexual determination as a starting point to discuss diversity in gender identity and relevance beyond the classroom. The lesson makes transparent the very real diversity that exists in gender identity and sexual determination in human populations with the goal of increasing students' awareness, empathy, and sensitivity towards all people.",109,,,,,
Authentic Ecological Inquiries Using BearCam Archives,https://doi.org/10.24918/cs.2016.22,Lesson,2016,"Ecology, Science Process Skills","behavior, interspecific interactions, Peer review, authentic inquiry, intra-specific interactions",Yes,"The design of the inquiry project supports different modes of learning. There are in-class mini-lectures, instructor-led discussions, clicker questions, and think-pair-shares, which are coupled with out-of-class individual research and online collaborative learning through group discussions and Calibrated Peer Review. The online group discussions provide opportunities for individual students to express their ideas in their own style and pace, to hear and benefit from diverse perspectives of their peers, and engage in discussions to deepen their understanding and improve their work.",80,,,,,
Follow the Sulfur: Using Yeast Mutants to Study a Metabolic Pathway,https://doi.org/10.24918/cs.2016.23,Lesson,2016,"Biochemistry and Molecular Biology, Genetics, Introduction Biology, Microbiology ","Selection, yeast, Metabolism, cysteine, media, methionine, mutant, Pathway, sulfur",Yes,"Students work in teams that are organized with balance (major, gender, graduation year) in mind. At the beginning of the semester, students self-describe their talents with the following prompt: “ If you were working in a widget factory, rate yourself in the following roles: CEO, widget designer, marketing guy, or widget fabricator."" These responses are used to help compose balanced teams. Students typically work in teams of three. The activities in the module accommodate a variety of learning styles. Pre-class materials include readings and an online quiz. Class activities are hands-on, and groups can organize their work to build on individual strengths.",102,,,,,
"An Open Source, Collaborative Electronic Notebook for Undergraduate Laboratory Classes",https://doi.org/10.24918/cs.2015.1,Teaching Tools and Strategies,2015,Science Process Skills,"data collection, Data annotation, Notebook Skills",No,,,,,,,
Using Synthetic Biology and pClone Red for Authentic Research on Promoter Function: Introductory Biology (identifying new promoters),https://doi.org/10.24918/cs.2015.2,Lesson,2015,"Genetics, Introduction Biology, Science Process Skills","bacteria, synthetic biology, gene regulation, transcription, student research, central dogma, cloning, promoter, reporter, gene/protein",Yes,"Student lab groups at Davidson were assembled using CATME (http://info.catme.org (27) Team-maker to form lab groups with maximum diversity. Students used CATME weekly for peer- and self-evaluation of teamwork (see S1). CATME is a free web tool that helps students work together effectively as a team.
Students must communicate, collaborate, and self-organize at many points throughout the laboratory sessions. Each person must contribute at multiple steps every week.
For the graded oral presentations, students must be prepared to present any of the four parts of the presentation. They learn their assigned presentation part one hour before lab begins. Therefore, each student must master all fours sections of the report.
Oral presentations include questions and answers where some students thrive more than others do.
Students respond to feedback on oral presentation when preparing their written lab report in the form of a scientific paper.
",139,,,,,
"An Active Textbook Converts ""Vision and Tweak"" to Vision and Change",https://doi.org/10.24918/cs.2015.3,Essay,2015,Introduction Biology ,"Vision and Change, active learning, introductory biology, Flipped classroom, Undergraduate, core competencies, core concepts, active textbook, curriculum reform",No,,,,,,,
Graphical Organizers as Course Road Maps: Using a geologic timescale in a history of life course,https://doi.org/10.24918/cs.2015.4,Teaching Tools and Strategies,2015,Evolution,"Evolution, ecology, extinction, adaptive radiation, diversification",No,,,,,,,
Using Synthetic Biology and pClone Red for Authentic Research on Promoter Function: Genetics (analyzing mutant promoters),https://doi.org/10.24918/cs.2015.5,Lesson,2015,"Genetics, Science Process Skills","bacteria, synthetic biology, gene regulation, transcription, student research, central dogma, cloning, promoter, reporter, gene/protein",Yes,"Student lab groups include individuals with different learning styles and prior knowledge.  They learn how to work together through cooperation. 
Students must communicate, collaborate, and self-organize at many points throughout the laboratory sessions.  Each person must contribute at multiple steps every week. 
Oral presentations include questions and answers where some students thrive more than others do.  ",56,,,,,
Out of Your Seat and on Your Feet! An adaptable course-based research project in plant ecology for advanced students,https://doi.org/10.24918/cs.2015.6,Lesson,2015,"Ecology, Plant Biology, Science Process Skills","statistics, active learning, ecology, interdisciplinary plants, communicating science, group work, field work, proces of science",Yes,"This project fosters inclusive teaching by putting students in charge of their own learning and productivity on the final project. Moreover, the Red Hills is an interesting biological, cultural and historical site easily accessible from our campus and surrounding region. Aside from hosting unique plant and animal communities due to the nature of its serpentine soils, Red Hills was the site of several Chinese miner camps during the gold rush days of ~1849-1856, and prior to this, the central Sierran Miwok peoples likely utilized the area as a camp for hunting, gathering and processing materials. We go over this historical information before our field trip. Finally, students are contributing to an ever-growing longitudinal data set on serpentine plant communities useful to resource managers and researchers.

I address parity of student contributions to group activities each lab by interacting with each group and asking them how each member is contributing. I monitor group contributions in class and hope students are truthful when they report their contributions to me. I hope that my enthusiasm for the project and constant reinforcement of science as a collaborative endeavor translates to their own perceptions of how much to contribute to the collective group project.

",198,,,,,
Using Gamification to Teach Undergraduate Students about Scientific Writing,https://doi.org/10.24918/cs.2015.7,Lesson,2015,Science Process Skills,"gamification, scientific writing, E-Learning, Instant Feedback, Interactive Learning, Reading Scientific Papers, VIdeo/computer game",Yes,"Playon Words was designed to accommodate a diverse group of students with different learning preferences.
Students can work through the game at a time, place, and pace that are convenient for them.
Each mini-game asks questions of varying difficulty levels to meet individual students' needs.
Students concerned about participating in a group setting because of a perceived lack of knowledge or general introversion can still participate.
The game allows students who may need more writing practice (e.g. non-native English speakers) a safe environment to practice without risk of judgment from their peers",88,,,,,
A Kinesthetic Modeling Activity to Teach PCR Fundamentals,https://doi.org/10.24918/cs.2015.8,Lesson,2015,"Genetics, Science Process Skills",PCR,Yes,"The PCR modeling activity incorporates two major sensory modes of learning: visual and kinesthetic. This lesson leverages learning diversity in the classroom by accommodating visual learners who prefer drawings, pictures, and images and kinesthetic learners who appreciate physical involvement and activities, manipulation of objects, and experiences that emphasize doing (13, 14).
Students who are Accommodators (perceived individual learning style that focuses upon concrete experiences and active experimentation) and prefer to learn through direct, hands-on experiences (15, 16) could benefit from this modeling activity.
Small groups of three students ensure individual accountability and enable all students to actively engage in the exercise.
Even students who perceive that they “know” PCR could benefit from understanding the theory behind PCR lab experiments",116,,,,,
Infectious Chocolate Joy with a Side of Poissonian Statistics: An activity connecting life science students with subtle physics concepts,https://doi.org/10.24918/cs.2015.9,Lesson,2015,"Bioinformatics, Genetics, Science Process Skills","quantitative biology, HIV, multiplicity of infection, Poisson Distribution, Physics for biologists",Yes,"By design, this activity is meant to include and encourage students to learn in an intellectually safe environment. At the beginning of the lesson, students make a prediction about the likelihood of an uninfected T cell occurring in a population that contains equal numbers of HIV particles and T cells. Making a prediction increases students’ curiosity and intellectual investment in the activity (12,13). The core of the activity is creating a simulation by passing a mock petri dish around as they ‘infect’ plastic eggs. By default, friendly attention was drawn to the person holding the petri dish. The opening, inserting, closing, and mixing parts offer students a kinesthetic feel so that later they may associate this process with this distribution. Because every student participates, this inclusion helps shy students voice their opinions when it is their turn to contribute. We note that this activity used Easter eggs for convenience and economy. Instructors will need to be sensitive about the association of Easter eggs with a Christian holiday, and that a religious reference may exclude some students. Alternatives to Easter eggs include plastic food bags, sewing kits, ring boxes, or change purses. We found no evidence that our students connected the use of Easter eggs to promotion of a Christian holiday. In our class, students reacted positively to the brightly colored eggs and the opportunity to eat leftover candy.",228,,,,,
Using Undergraduate Molecular Biology Labs to Discover Targets of miRNAs in Humans,https://doi.org/10.24918/cs.2015.10,Lesson,2015,"Bioinformatics, Genetics, Science Process Skills","gene regulation, microRNAs, gene expression",Yes,"Students get to pick a candidate gene that interests them and they do so using a variety of criteria that reflect their individuality and diversity. Since students work in pairs (students randomly pair up at the beginning of the quarter, and keep the pairing for all lab sessions), they get to scientifically debate the merits and issues with picking different candidates, and must arrive at a consensus choice.",68,,,,,
Exploration of the Human Genome by Investigation of Personalized SNPs,https://doi.org/10.24918/cs.2015.11,Lesson,2015,"Bioinformatics, Genetics, Science Process Skills","UCSC genome browser, single nucleotide polymorphism, Genome wide association studies, Genomic organization",Yes,"Discussion of the similarities among all human genomes acknowledges the enormous genetic conservation between all of us.
Examination of particular health-related SNPs also demonstrates that all of us are at risk for some diseases regardless of age, gender, race, etc.
Enabling students to choose a particular SNP is inherently inclusive, since each student can pursue an individual interest.
The diversity of choices across the class will provide a variety of examples that may be more or less common in various backgrounds",78,,,,,
"Lights, Camera, Acting Transport! Using role-play to teach membrane transport",https://doi.org/10.24918/cs.2015.12,Lesson,2015,"Biochemistry and Molecular Biology, Cell Biology, Introduction Biology","ATP, carriers, channels, co-transport, electrogenic pump, facilitated diffusion, membrane transport, passive transport, primary active transport, simple diffusion",Yes,"This lesson was designed to appeal to a diverse group of students with a variety of learning preferences. Not surprisingly, it appeals to students who enjoy kinesthetic learning experiences, as they move in and out of “the cell” and simulate the mechanisms of channels and carriers through motion. However, it also appeals to students who appreciate visual learning tools, as it allows them to envision the cellular processes that would otherwise be highly abstract. We have built in time for independent thinking and T-P-S prior to each act, in order to make the lesson less intimidating for the quieter more reflective students. The consistent popularity of this lesson, in addition to our assessment data, suggests that we are appealing to and benefitting all of our learners.",126,,,,,
Teaching Genetic Linkage and Recombination through Mapping with Molecular Markers,https://doi.org/10.24918/cs.2015.13,Lesson,2015,"Genetics, Plant Biology, Science Process Skills","meiosis, phenotype, gel electrophoresis, microsatellites, Banding Pattern, Genetic linkage, Inheritance, Molecular Markers, Physical Linkage",Yes,"We believe that the framing story used in the lesson about drought tolerant crops can be interesting to a variety of students, as most of them have encountered information about climate change, drought, and the impact of climate change on food crops. However, the framing story can be modified depending on the interests of the student audience, such as choosing genes and phenotypes related to diseases.

This lesson allows students to engage in the material in a variety of ways: individual clicker questions, peer discussion, drawing, and writing. Clicker questions, which students answer individually for the first vote, allow all students, regardless of ability, to engage in thinking and applying their knowledge, and receiving feedback (as the clicker questions are always followed-up with feedback from the instructor). We do not grade the clicker questions for correctness but rather use them for instructor and student feedback, creating a feedback-rich, low-stakes learning opportunity. Students are allowed to self-select their peer groups or to work individually (although in our experience almost all students participated in the group work portion of the class). The combination of clicker questions, peer discussion, and in-class problem solving with handouts allows for the variety of student abilities and learning preferences to be satisfied, while maintaining a high level of engagement.

",211,,,,,
Teaching RNAseq at Undergraduate Institutions: A tutorial and R package from the Genome Consortium for Active Teaching,https://doi.org/10.24918/cs.2015.14,Lesson,2015,"Bioinformatics , Introduction Biology ","statistics, bioinformatics, RNAseq, gene expression, computer programming",Yes,"The successful completion of this tutorial requires every student to complete their assigned portion of the analysis, enforcing inclusion and encouraging cooperation in overcoming hurdles.

In addition, as with most STEM disciplines, it is important to draw explicit connections to the diversity in the field. According to the non-profit group ScriptEd, only 1 in 10 high schools in America teaches computer science and this number is even lower in minority serving schools (www.scripted.org). This deficiency increases the value of engaging undergraduates in the computer programming side of bioinformatics, where there can be a large diversity gap. We strongly recommend that instructors pay special attention to the diversity of those who have contributed to the field. From Ada Lovelace, the woman who wrote the first computer program, through the tragic arc of Alan Turing's life and punishment for his sexuality, to the current diversity of contributors in the field of bioinformatics, there are many examples to choose from. Such discussions fall outside the scope of the technical approach in our tutorials, but are likely to be a great way to draw in the human-interest side of many students.",186,,,,,
The Lecture-Free Classroom: Teaching students backward design and Bloom's Taxonomy to create their own learning environment,https://doi.org/10.24918/cs.2015.15,Essay,2015,"Introduction Biology, Professional Development and Career Planning","active learning, backward design, Problem based learning, Bloom's Taxonomy",No,,,,,,,
Your Tax Dollars at Work: A mock grant writing experience centered on scientific process skills,https://doi.org/10.24918/cs.2015.16,Lesson,2015,Science Process Skills,"research, experimental design, process of science, Peer review, grant writing, Pecha Kucha, proposal",Yes,We leverage the unique background and perspective of each student in the classroom to create diverse and complimentary student teams (8-10). Students discuss and collaboratively choose a research topic that is relevant to and captures the interest of all members of the team.,43,,,,,
AirQuality Data Mining: Mining the US EPA AirData website for student-led evaluation of air quality issues ,https://doi.org/10.24918/cs.2015.17,Lesson,2015,"Ecology, Introduction Biology, Science Process Skills","data mining, environemntal justice, airquality, airpollution, spatial reasoning",Yes,"The reading for this lesson highlight the impact that race and socioeconomic factors play in people's exposures to air pollutants (9). To include students with different learning preferences, the activities include different ways of engaging with the material, including reading, interactive discussion, and independent, hands-on computer work. By working in pairs, students can work with students that have distinct strengths than their own.",63,,,,,
Building a Model of Tumorigenesis: A small group activity for a cancer biology/cell biology course,https://doi.org/10.24918/cs.2015.18,Lesson,2015,"Cell Biology, Genetics, Science Process Skills","pathways, cancer, Molecular Alterations, Retrospective data, Tumorigenesis",Yes,"The lesson involves cooperative group work and discussion and implements inclusive teaching strategies in the classroom. Since this is an activity for small groups, the instructor has a number of choices on how to sort students in the class. Allowing students to select their own groups, for example, may help them create a socially supportive environment for learning. The instructor could also pre-select groups to encourage students to interact with people they may not normally work with. This strategy could help students learn to value diverse perspectives and opinions. Because the activity does not demand expert-level knowledge about cancer biology or another sub-discipline of biology, it can be used with students with different backgrounds and abilities.",116,,,,,
Why Meiosis Matters: The case of the fatherless snake,https://doi.org/10.24918/cs.2014.1,Lesson,2014,"Genetics, Science Process Skills","meiosis, mitosis, sex determination, Asexual reproduction, Parthenogenesis",Yes,"The story of the fatherless snake has the potential to engage many individuals since questions about reproduction are typically very interesting to most people.
The story invokes some religious perspectives that may resonate with some students.
The story raises issues of diversity of sex determination that could resonate with a variety of communities and could lead to discussions of human sex determination and gender identity.
",63,,,,,
"Using Pathway Maps to Link Concepts, Peer Review, Primary Literature Searches and Data Assessment in Large Enrollment Classes: An example from teaching ecosystem ecology",https://doi.org/10.24918/cs.2014.2,Lesson,2014,"Ecology, Introduction Biology, Science Process Skills","energy, ecosystem, Nutrients, Pathway",Yes,"For our class, the groups of nine students who were assigned to an individual table were chosen at the beginning of the semester using a very simplified personality assessment to ensure a mixture of personalities at tables. This brief activity simply asks the student whether they identify most as a ""Leader"", ""Communicator"", ""Organizer"", or ""Supporter"" (similar to the approach taken by [9]), and large groups of nine students are formed by attempting to combine a diverse composition of these self-identified personality types at each table. The complete lesson asks student groups to use a number of different skills, including spatial reasoning in constructing the pathway maps, quantitative reasoning in assessing the primary literature, writing skills when pulling together the short report.  This variety of skills allows different members of the group to take the lead when their natural abilities match the needs of the group.",145,,,,,
"Bad Cell Reception? Using a cell part activity to help students appreciate cell biology, with an improved data plan and no loss in coverage",https://doi.org/10.24918/cs.2014.3,Lesson,2014,"Cell Biology, Introduction Biology, Science Process Skills","primary literature, prokaryotes, Cell parts, Eukaryotes, Organelle function, Organelles",Yes,"Diverse student teams are purposely created at the beginning of the semester to ensure that team members have a variety of viewpoints and backgrounds.
This activity meets students where they are at, regardless of background knowledge. It levels the playing field.
This activity involves using a variety of skills including independent research, group discussion, and presentation. Students get the opportunity to showcase their talents and to practice in areas where they need improvement.
Students from all walks of life can see how cell biology relates to their lives and human health in general.
The group nature of this exercise lends itself well to making accommodations for students with disabilities, should the need arise. Students within each group divide the work amongst themselves; they can volunteer to do tasks that play to their strengths.
",129,,,,,
"Coevolution or not? Crossbills, squirrels and pinecones",https://doi.org/10.24918/cs.2014.4,Lesson,2014,"Ecology, Evolution, Introduction Biology, Science Process Skills","fitness, Coevolution, Co-adaptation",Yes,"The lesson provides multiple ways for students to succeed both with the core concept of evolution, and with a diversity of scientific practices.
Students represent knowledge and ideas with a variety of means, including language, graphs, diagrams, and a simple model.
Collaboration is built into the lesson so that students prompt one another to strengthen arguments, explain their thinking, and modify their ideas with feedback.
The system of birds, pinecones, and squirrels is both familiar to students and invites them to learn more.
",80,,,,,
"Homologous chromosomes? Exploring human sex chromosomes, sex determination and sex reversal using bioinformatics approaches",https://doi.org/10.24918/cs.2014.5,Lesson,2014,"Bioinformatics, Genetics, Introduction Biology, Science Process Skills","bioinformatics, autosome, homologous chromosomes, homologous recombination, sex chromosome, sex determination, sex reversal mutations",Yes,"This lesson allows students to exchange and evaluate each other’s ideas prior to and during completion of the Investigations. The lesson also emphasizes the collaborative and interdependent nature of science by utilizing an open resource that is compiled, reviewed, and annotated by scientists from around the world investigating many different questions and utilizing these resources in many different ways. The subject matter of this lesson, namely sex determination and definitions of sex (and gender, in Optional Extension 2) also provide opportunities for exploring differences that exist in how biologists and non-biologists may define or think about sex (i.e. definitions of maleness and femaleness). Further, discussion of sex-reversal and possible mismatches between genotypic sex and phenotypic sex provides an opportunity to extend students’ understanding of sex from a simple dichotomy to a diverse spectrum.",133,,,,,
Helping Students to Overcome STUMPS: Scientific terms undermined by meanings peripheral to science,https://doi.org/10.24918/cs.2014.6,Essay,2014,Introduction Biology ,"Evolution, fitness, process of science, tree of life, metacognition, language, misconceptions, Terminology, Theory",No,,,,,,,
Using the Cell Engineer/Detective Approach to Explore Cell Structure and Function,https://doi.org/10.24918/cs.2014.7,Lesson,2014,"Cell Biology, Introduction Biology, Science Process Skills","cell function, Cell Structure, Cellular diversity, Dynamic cellular function, Organelle function",Yes,"Discussing cellular diversity and the “different, but equally complex” approach to describing differences among cells opens discussion to the important contributions of diversity to biology.
Discussions on organelle origins can open up discussions related to evolutionary relationships and potential relationship to religious themes.
The topic of cells (content, organization, division, etc.) is a comparatively easy one for students to relate their own lives and find interesting.  For instance, discussions on cell function can provide examples such as hormone production, immune protection, and reproduction that relate to populations diverse in ages, gender, etc.
",90,,,,,
Sex-specific differences in Meiosis: Real-world applications,https://doi.org/10.24918/cs.2014.8,Lesson,2014,"Cell Biology, Genetics, Science Process Skills","meiosis, Reproduction, Aneuploidy, Gamete, Non-disjunction, Oocyte, Sperm, Trisomy",Yes,"The class activities address different learning styles through the use of audio/visual material, tactile activities (paper strip), and reading at home.
Teaching material also addresses how modern reproductive technologies are applied to contemporary family needs and diversity of sexual orientation.
Working groups that are formed randomly ensure inclusion of students with different background knowledge and abilities.
",54,,,,,
Plotting Cranial and Spinal Nerve Pathways in a Human Anatomy Lab,https://doi.org/10.24918/cs.2014.9,Lesson,2014,"Anatomy-Physiology, Science Process Skills","human anatomy, Nervous system, Brain, Cranial nerve, Nerve, Spinal cord, Spinal nerve",Yes,"Students work in small groups of 3 to 5 for the entire lesson, so they are learning to work with diverse students and how to handle group work environments. This lab also requires them to translate two-dimensional visual information to a three-dimensional model, thus requiring students to use multiple modalities and points of view.",54,,,,,
